Station ; Identifiant
Nord lyonnais / Côtière de l'Ain - Périurbain ;20047
Villefranche périurbain - Périurbain ;20068
St Bauzile Nord - Grangette - Industrielle ;36007
A7 Valence - Trafic ;36003
Drôme provençale - Rurale nationale ;36017
Romans Sur Isère - Urbain ;36019
Valence Sud - Périurbain ;36001
Annecy Loverchy - Urbain ;33201
Annecy Novel - Périurbain ;33202
Annemasse - Urbain ;33211
Chamonix - Urbain ;33120
Gaillard - Urbain ;33212
Passy - Urbain ;33220
Saint-Germain-Sur-Rhône - Rurale régionale ;33302
A7 Nord-Isere - Trafic ;27008
Est grenoblois / Grésivaudan - Périurbain ;15048
Fontaine les Balmes - Urbain ;15017
Grenoble Grands Boulevards - Trafic ;15046
Grenoble les Frenes - Urbain ;15043
Grenoble Rocade Sud - Trafic ;15045
Roussillon - Urbain ;27002
Saint-Martin d'Heres - Urbain ;15038
Vienne Centre - Urbain ;27004
Voiron Urbain - Urbain ;15018
Est stéphanois / La Talaudière - Périurbain ;29439
Est stéphanois / Saint-Chamond - Urbain ;29426
Roanne - Urbain ;29423
Saint-Etienne Nord - Périurbain ;29428
Saint-Etienne Sud - Urbain ;29424
Est lyonnais / Genas - Périurbain ;20045
Est lyonnais / Saint Exupéry - Périurbain ;20048
Est lyonnais / Vaulx en Velin - Urbain ;20046
Lyon Centre - Urbain ;20062
Lyon Gerland - Urbain ;20017
Lyon Periphérique Est - Trafic ;20063
Sud lyonnais / Feyzin ZI - Industrielle ;20030
sud lyonnais / Saint-Fons - Industrielle ;20031
Sud lyonnais / Ternay - Périurbain ;20037
Villefranche Village - Urbain ;20061
Villeurbanne Place Grandclément - Trafic ;20019
Albertville - Urbain ;33121
Chambery le Haut - Urbain ;33102
Chambéry Pasteur - Urbain ;33101
Saint-Jean de Maurienne - Urbain ;33111
